Optimizer|Learning Rate|Metric|Epochs|Batch Size|Accuracy|F1_Score|Time
<keras.optimizer_v2.adam.Adam object at 0x7f0060acda90>|0.001|accuracy|10|32|0.8563218390804598|0.8560889271181393|39.81732130050659
<keras.optimizer_v2.adam.Adam object at 0x7f0069d1ed10>|0.001|accuracy|50|32|0.8505747126436781|0.8503968253968255|156.6558940410614
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f013ee0bbd0>|0.001|accuracy|50|16|0.8390804597701149|0.8387395736793327|172.42383074760437
<keras.optimizer_v2.adam.Adam object at 0x7f0066dd0690>|0.001|accuracy|10|16|0.8390804597701149|0.8385471898197243|43.119059801101685
<keras.optimizer_v2.adam.Adam object at 0x7f007621d210>|0.001|accuracy|50|16|0.8218390804597702|0.8215502696264928|174.2436671257019
<keras.optimizer_v2.adam.Adam object at 0x7efffe69a790>|0.0001|accuracy|50|16|0.8218390804597702|0.8211241916763389|185.48033595085144
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0133aefed0>|0.001|accuracy|50|32|0.8160919540229885|0.8160919540229885|164.7039234638214
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f007326f490>|0.001|accuracy|50|16|0.8160919540229885|0.8157023699192374|171.2805438041687
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0074b300d0>|0.001|accuracy|10|16|0.8103448275862069|0.810037383795944|43.059438943862915
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f00391df190>|0.001|accuracy|50|32|0.7988505747126436|0.7980434422152214|155.6367642879486
<keras.optimizer_v2.adam.Adam object at 0x7f009046c090>|0.0001|accuracy|50|32|0.7931034482758621|0.7921146953405018|158.45462560653687
<keras.optimizer_v2.adam.Adam object at 0x7f01461d4fd0>|0.0001|accuracy|10|32|0.7758620689655172|0.7752608047690015|40.5933198928833
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f0066028fd0>|0.001|accuracy|10|32|0.7758620689655172|0.7737019375062527|39.32723069190979
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f006fb77450>|0.001|accuracy|10|32|0.7471264367816092|0.7469927296761402|39.63033366203308
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0145f60250>|0.0001|accuracy|50|16|0.7413793103448276|0.7411655813030974|174.73453664779663
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f01371b8290>|0.001|accuracy|10|16|0.7298850574712644|0.727862633523011|42.586495876312256
<keras.optimizer_v2.adam.Adam object at 0x7efffe80fa90>|0.0001|accuracy|10|16|0.7298850574712644|0.7258924082453495|43.1833336353302
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0338296550>|0.0001|accuracy|50|32|0.6781609195402298|0.6754163890739506|157.1783163547516
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f042b0ca110>|0.0001|accuracy|10|16|0.6609195402298851|0.6606393177085055|43.662294149398804
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f0146cffc10>|0.0001|accuracy|50|16|0.6551724137931034|0.6549900859220092|173.56081700325012
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f0090cc5390>|0.001|accuracy|50|32|0.6264367816091954|0.6243398545188826|156.37395524978638
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f013655e750>|0.001|accuracy|50|16|0.6206896551724138|0.6206896551724138|174.018718957901
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f007c3511d0>|0.0001|accuracy|10|16|0.6091954022988506|0.6073277578653922|43.52240562438965
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f0148b00990>|0.0001|accuracy|50|16|0.5919540229885057|0.5919405450041288|172.10727667808533
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f041491fdd0>|0.0001|accuracy|50|32|0.5862068965517241|0.5842293906810037|157.23891854286194
<keras.optimizer_v2.adagrad.Adagrad object at 0x7f00d61cbdd0>|0.0001|accuracy|10|32|0.5862068965517241|0.5842293906810035|39.844552516937256
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f0414e3dc10>|0.001|accuracy|10|32|0.5689655172413793|0.568609302171829|39.4475474357605
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0132896dd0>|0.0001|accuracy|10|32|0.5459770114942529|0.5441551981429282|40.03204894065857
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f0437f9e490>|0.0001|accuracy|10|16|0.5287356321839081|0.5286733615221988|43.80423879623413
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f02e8c55410>|0.001|accuracy|10|16|0.5172413793103449|0.5171775898520085|43.1059296131134
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f0142f47690>|0.0001|accuracy|50|32|0.5|0.4926093514328808|157.9058873653412
<keras.optimizer_v2.adadelta.Adadelta object at 0x7f01488220d0>|0.0001|accuracy|10|32|0.4827586206896552|0.48214285714285715|39.413923501968384
